R,G,B,ColorName,
251,236,93,Corn,#fbec5d
179,27,27,Cornell Red,#b31b1b
100,149,237,Cornflower Blue,#6495ed
255,248,220,Cornsilk,#fff8dc
255,248,231,Cosmic Latte,#fff8e7
255,188,217,Cotton Candy,#ffbcd9
255,253,208,Cream,#fffdd0
220,20,60,Crimson,#dc143c
190,0,50,Crimson Glory,#be0032
0,255,255,Cyan,#0ff
0,183,235,Cyan (Process),#00b7eb
255,255,49,Daffodil,#ffff31
240,225,48,Dandelion,#f0e130
0,0,139,Dark Blue,#00008b
101,67,33,Dark Brown,#654321
93,57,84,Dark Byzantium,#5d3954
164,0,0,Dark Candy Apple Red,#a40000
8,69,126,Dark Cerulean,#08457e
152,105,96,Dark Chestnut,#986960
205,91,69,Dark Coral,#cd5b45
0,139,139,Dark Cyan,#008b8b
83,104,120,Dark Electric Blue,#536878
184,134,11,Dark Goldenrod,#b8860b
169,169,169,Dark Gray,#a9a9a9
1,50,32,Dark Green,#013220
0,65,106,Dark Imperial Blue,#00416a
26,36,33,Dark Jungle Green,#1a2421
189,183,107,Dark Khaki,#bdb76b
72,60,50,Dark Lava,#483c32
115,79,150,Dark Lavender,#734f96
139,0,139,Dark Magenta,#8b008b
0,51,102,Dark Midnight Blue,#036
85,107,47,Dark Olive Green,#556b2f
255,140,0,Dark Orange,#ff8c00
153,50,204,Dark Orchid,#9932cc
119,158,203,Dark Pastel Blue,#779ecb
3,192,60,Dark Pastel Green,#03c03c
150,111,214,Dark Pastel Purple,#966fd6
194,59,34,Dark Pastel Red,#c23b22
231,84,128,Dark Pink,#e75480
0,51,153,Dark Powder Blue,#039
135,38,87,Dark Raspberry,#872657
139,0,0,Dark Red,#8b0000
233,150,122,Dark Salmon,#e9967a
86,3,25,Dark Scarlet,#560319
143,188,143,Dark Sea Green,#8fbc8f
60,20,20,Dark Sienna,#3c1414
72,61,139,Dark Slate Blue,#483d8b
47,79,79,Dark Slate Gray,#2f4f4f
23,114,69,Dark Spring Green,#177245
145,129,81,Dark Tan,#918151
255,168,18,Dark Tangerine,#ffa812
72,60,50,Dark Taupe,#483c32
204,78,92,Dark Terra Cotta,#cc4e5c
0,206,209,Dark Turquoise,#00ced1
148,0,211,Dark Violet,#9400d3
155,135,12,Dark Yellow,#9b870c
0,112,60,Dartmouth Green,#00703c
85,85,85,Davy'S Grey,#555
215,10,83,Debian Red,#d70a53
169,32,62,Deep Carmine,#a9203e
239,48,56,Deep Carmine Pink,#ef3038
233,105,44,Deep Carrot Orange,#e9692c
218,50,135,Deep Cerise,#da3287
250,214,165,Deep Champagne,#fad6a5
185,78,72,Deep Chestnut,#b94e48
112,66,65,Deep Coffee,#704241
193,84,193,Deep Fuchsia,#c154c1
0,75,73,Deep Jungle Green,#004b49
153,85,187,Deep Lilac,#95b
204,0,204,Deep Magenta,#c0c
255,203,164,Deep Peach,#ffcba4
255,20,147,Deep Pink,#ff1493
132,63,91,Deep Ruby,#843f5b
255,153,51,Deep Saffron,#f93
0,191,255,Deep Sky Blue,#00bfff
102,66,77,Deep Tuscan Red,#66424d
21,96,189,Denim,#1560bd
193,154,107,Desert,#c19a6b
237,201,175,Desert Sand,#edc9af
105,105,105,Dim Gray,#696969
30,144,255,Dodger Blue,#1e90ff
215,24,104,Dogwood Rose,#d71868
133,187,101,Dollar Bill,#85bb65
150,113,23,Drab,#967117
0,0,156,Duke Blue,#00009c
225,169,95,Earth Yellow,#e1a95f
85,93,80,Ebony,#555d50
194,178,128,Ecru,#c2b280
97,64,81,Eggplant,#614051
240,234,214,Eggshell,#f0ead6
16,52,166,Egyptian Blue,#1034a6
125,249,255,Electric Blue,#7df9ff
255,0,63,Electric Crimson,#ff003f
0,255,255,Electric Cyan,#0ff
0,255,0,Electric Green,#0f0
111,0,255,Electric Indigo,#6f00ff
244,187,255,Electric Lavender,#f4bbff
204,255,0,Electric Lime,#cf0
191,0,255,Electric Purple,#bf00ff
63,0,255,Electric Ultramarine,#3f00ff
143,0,255,Electric Violet,#8f00ff
255,255,0,Electric Yellow,#ff0
80,200,120,Emerald,#50c878
180,131,149,English Lavender,#b48395
150,200,162,Eton Blue,#96c8a2
193,154,107,Fallow,#c19a6b
128,24,24,Falu Red,#801818
181,51,137,Fandango,#b53389
244,0,161,Fashion Fuchsia,#f400a1
229,170,112,Fawn,#e5aa70
77,93,83,Feldgrau,#4d5d53
79,121,66,Fern Green,#4f7942
255,40,0,Ferrari Red,#ff2800
108,84,30,Field Drab,#6c541e
206,32,41,Fire Engine Red,#ce2029
178,34,34,Firebrick,#b22222
226,88,34,Flame,#e25822
252,142,172,Flamingo Pink,#fc8eac
247,233,142,Flavescent,#f7e98e
238,220,130,Flax,#eedc82
255,250,240,Floral White,#fffaf0
255,191,0,Fluorescent Orange,#ffbf00
255,20,147,Fluorescent Pink,#ff1493
204,255,0,Fluorescent Yellow,#cf0
255,0,79,Folly,#ff004f
1,68,33,Forest Green (Traditional),#014421
34,139,34,Forest Green (Web),#228b22
166,123,91,French Beige,#a67b5b
0,114,187,French Blue,#0072bb
134,96,142,French Lilac,#86608e
204,255,0,French Lime,#cf0
199,44,72,French Raspberry,#c72c48
246,74,138,French Rose,#f64a8a
255,0,255,Fuchsia,#f0f
193,84,193,Fuchsia (Crayola),#c154c1
255,119,255,Fuchsia Pink,#f7f
199,67,117,Fuchsia Rose,#c74375
228,132,0,Fulvous,#e48400
204,102,102,Fuzzy Wuzzy,#c66
220,220,220,Gainsboro,#dcdcdc
228,155,15,Gamboge,#e49b0f
248,248,255,Ghost White,#f8f8ff
176,101,0,Ginger,#b06500
96,130,182,Glaucous,#6082b6
230,232,250,Glitter,#e6e8fa
212,175,55,Gold (Metallic),#d4af37
255,215,0,Gold (Web) (Golden),#ffd700
153,101,21,Golden Brown,#996515
252,194,0,Golden Poppy,#fcc200
255,223,0,Golden Yellow,#ffdf00
218,165,32,Goldenrod,#daa520
168,228,160,Granny Smith Apple,#a8e4a0
128,128,128,Gray,#808080
70,89,69,Gray-Asparagus,#465945
128,128,128,Gray (Html/Css Gray),#808080
190,190,190,Gray (X11 Gray),#bebebe
0,255,0,Green (Color Wheel) (X11 Green),#0f0
28,172,120,Green (Crayola),#1cac78
0,128,0,Green (Html/Css Green),#008000
0,168,119,Green (Munsell),#00a877
0,159,107,Green (Ncs),#009f6b
0,165,80,Green (Pigment),#00a550
102,176,50,Green (Ryb),#66b032
173,255,47,Green-Yellow,#adff2f
169,154,134,Grullo,#a99a86
0,255,127,Guppie Green,#00ff7f
102,56,84,Halayà úBe,#663854
68,108,207,Han Blue,#446ccf
82,24,250,Han Purple,#5218fa
233,214,107,Hansa Yellow,#e9d66b
63,255,0,Harlequin,#3fff00
201,0,22,Harvard Crimson,#c90016
218,145,0,Harvest Gold,#da9100
128,128,0,Heart Gold,#808000
223,115,255,Heliotrope,#df73ff
244,0,161,Hollywood Cerise,#f400a1
240,255,240,Honeydew,#f0fff0
0,127,191,Honolulu Blue,#007fbf
73,121,107,Hooker'S Green,#49796b
255,29,206,Hot Magenta,#ff1dce
255,105,180,Hot Pink,#ff69b4
53,94,59,Hunter Green,#355e3b
113,166,210,Iceberg,#71a6d2
252,247,94,Icterine,#fcf75e
0,35,149,Imperial Blue,#002395
178,236,93,Inchworm,#b2ec5d
19,136,8,India Green,#138808
205,92,92,Indian Red,#cd5c5c
227,168,87,Indian Yellow,#e3a857
111,0,255,Indigo,#6f00ff
0,65,106,Indigo (Dye),#00416a
75,0,130,Indigo (Web),#4b0082
0,47,167,International Klein Blue,#002fa7
255,79,0,International Orange (Aerospace),#ff4f00
186,22,12,International Orange (Engineering),#ba160c
192,54,44,International Orange (Golden Gate Bridge),#c0362c
90,79,207,Iris,#5a4fcf
244,240,236,Isabelline,#f4f0ec
0,144,0,Islamic Green,#009000
255,255,240,Ivory,#fffff0
0,168,107,Jade,#00a86b
248,222,126,Jasmine,#f8de7e
215,59,62,Jasper,#d73b3e
165,11,94,Jazzberry Jam,#a50b5e
52,52,52,Jet,#343434
250,218,94,Jonquil,#fada5e
189,218,87,June Bud,#bdda57
41,171,135,Jungle Green,#29ab87
76,187,23,Kelly Green,#4cbb17
124,28,5,Kenyan Copper,#7c1c05
195,176,145,Khaki (Html/Css) (Khaki),#c3b091
240,230,140,Khaki (X11) (Light Khaki),#f0e68c
232,0,13,Ku Crimson,#e8000d
8,120,48,La Salle Green,#087830
214,202,221,Languid Lavender,#d6cadd
38,97,156,Lapis Lazuli,#26619c
254,254,34,Laser Lemon,#fefe22
169,186,157,Laurel Green,#a9ba9d
207,16,32,Lava,#cf1020
204,204,255,Lavender Blue,#ccf
255,240,245,Lavender Blush,#fff0f5
181,126,220,Lavender (Floral),#b57edc
196,195,208,Lavender Gray,#c4c3d0
148,87,235,Lavender Indigo,#9457eb
238,130,238,Lavender Magenta,#ee82ee
230,230,250,Lavender Mist,#e6e6fa
251,174,210,Lavender Pink,#fbaed2
150,123,182,Lavender Purple,#967bb6
251,160,227,Lavender Rose,#fba0e3
230,230,250,Lavender (Web),#e6e6fa
124,252,0,Lawn Green,#7cfc00
255,247,0,Lemon,#fff700
255,250,205,Lemon Chiffon,#fffacd
227,255,0,Lemon Lime,#e3ff00
26,17,16,Licorice,#1a1110
253,213,177,Light Apricot,#fdd5b1
173,216,230,Light Blue,#add8e6
181,101,29,Light Brown,#b5651d
230,103,113,Light Carmine Pink,#e66771
240,128,128,Light Coral,#f08080
147,204,234,Light Cornflower Blue,#93ccea
245,105,145,Light Crimson,#f56991
224,255,255,Light Cyan,#e0ffff
249,132,239,Light Fuchsia Pink,#f984ef
250,250,210,Light Goldenrod Yellow,#fafad2
211,211,211,Light Gray,#d3d3d3
144,238,144,Light Green,#90ee90
240,230,140,Light Khaki,#f0e68c
177,156,217,Light Pastel Purple,#b19cd9
255,182,193,Light Pink,#ffb6c1
233,116,81,Light Red Ochre,#e97451
255,160,122,Light Salmon,#ffa07a
255,153,153,Light Salmon Pink,#f99
32,178,170,Light Sea Green,#20b2aa
135,206,250,Light Sky Blue,#87cefa
119,136,153,Light Slate Gray,#789
179,139,109,Light Taupe,#b38b6d
230,143,172,Light Thulian Pink,#e68fac
255,255,224,Light Yellow,#ffffe0
200,162,200,Lilac,#c8a2c8
191,255,0,Lime (Color Wheel),#bfff00
50,205,50,Lime Green,#32cd32
0,255,0,Lime (Web) (X11 Green),#0f0
157,194,9,Limerick,#9dc209
25,89,5,Lincoln Green,#195905
250,240,230,Linen,#faf0e6
193,154,107,Lion,#c19a6b
108,160,220,Little Boy Blue,#6ca0dc
83,75,79,Liver,#534b4f
230,32,32,Lust,#e62020
255,0,255,Magenta,#f0f
202,31,123,Magenta (Dye),#ca1f7b
255,0,144,Magenta (Process),#ff0090
170,240,209,Magic Mint,#aaf0d1
248,244,255,Magnolia,#f8f4ff
192,64,0,Mahogany,#c04000
251,236,93,Maize,#fbec5d
96,80,220,Majorelle Blue,#6050dc
11,218,81,Malachite,#0bda51
151,154,170,Manatee,#979aaa
255,130,67,Mango Tango,#ff8243
116,195,101,Mantis,#74c365
136,0,133,Mardi Gras,#880085
195,33,72,Maroon (Crayola),#c32148
128,0,0,Maroon (Html/Css),#800000
176,48,96,Maroon (X11),#b03060
224,176,255,Mauve,#e0b0ff
145,95,109,Mauve Taupe,#915f6d
239,152,170,Mauvelous,#ef98aa
115,194,251,Maya Blue,#73c2fb
229,183,59,Meat Brown,#e5b73b
102,221,170,Medium Aquamarine,#6da
0,0,205,Medium Blue,#0000cd
226,6,44,Medium Candy Apple Red,#e2062c
175,64,53,Medium Carmine,#af4035
243,229,171,Medium Champagne,#f3e5ab
3,80,150,Medium Electric Blue,#035096
28,53,45,Medium Jungle Green,#1c352d
221,160,221,Medium Lavender Magenta,#dda0dd
186,85,211,Medium Orchid,#ba55d3
0,103,165,Medium Persian Blue,#0067a5
147,112,219,Medium Purple,#9370db
187,51,133,Medium Red-Violet,#bb3385
170,64,105,Medium Ruby,#aa4069
60,179,113,Medium Sea Green,#3cb371
123,104,238,Medium Slate Blue,#7b68ee
201,220,135,Medium Spring Bud,#c9dc87
0,250,154,Medium Spring Green,#00fa9a
103,76,71,Medium Taupe,#674c47
72,209,204,Medium Turquoise,#48d1cc
121,68,59,Medium Tuscan Red,#79443b
217,96,59,Medium Vermilion,#d9603b
199,21,133,Medium Violet-Red,#c71585
248,184,120,Mellow Apricot,#f8b878
248,222,126,Mellow Yellow,#f8de7e
253,188,180,Melon,#fdbcb4
25,25,112,Midnight Blue,#191970
0,73,83,Midnight Green (Eagle Green),#004953
255,196,12,Mikado Yellow,#ffc40c
62,180,137,Mint,#3eb489
245,255,250,Mint Cream,#f5fffa
152,255,152,Mint Green,#98ff98
255,228,225,Misty Rose,#ffe4e1
250,235,215,Moccasin,#faebd7
150,113,23,Mode Beige,#967117
115,169,194,Moonstone Blue,#73a9c2
174,12,0,Mordant Red 19,#ae0c00
173,223,173,Moss Green,#addfad
48,186,143,Mountain Meadow,#30ba8f
153,122,141,Mountbatten Pink,#997a8d
24,69,59,Msu Green,#18453b
197,75,140,Mulberry,#c54b8c
255,219,88,Mustard,#ffdb58
33,66,30,Myrtle,#21421e
246,173,198,Nadeshiko Pink,#f6adc6
42,128,0,Napier Green,#2a8000
250,218,94,Naples Yellow,#fada5e
255,222,173,Navajo White,#ffdead
0,0,128,Navy Blue,#000080
255,163,67,Neon Carrot,#ffa343
254,65,100,Neon Fuchsia,#fe4164
57,255,20,Neon Green,#39ff14
215,131,127,New York Pink,#d7837f
164,221,237,Non-Photo Blue,#a4dded
5,144,51,North Texas Green,#059033
0,119,190,Ocean Boat Blue,#0077be
204,119,34,Ochre,#c72
0,128,0,Office Green,#008000
207,181,59,Old Gold,#cfb53b
253,245,230,Old Lace,#fdf5e6
121,104,120,Old Lavender,#796878
103,49,71,Old Mauve,#673147
192,128,129,Old Rose,#c08081
128,128,0,Olive,#808000
60,52,31,Olive Drab #7,#3c341f
107,142,35,Olive Drab (Web) (Olive Drab #3),#6b8e23
154,185,115,Olivine,#9ab973
53,56,57,Onyx,#353839
183,132,167,Opera Mauve,#b784a7
255,127,0,Orange (Color Wheel),#ff7f00
255,159,0,Orange Peel,#ff9f00
255,69,0,Orange-Red,#ff4500
251,153,2,Orange (Ryb),#fb9902
255,165,0,Orange (Web Color),#ffa500
218,112,214,Orchid,#da70d6
101,67,33,Otter Brown,#654321
153,0,0,Ou Crimson Red,#900
65,74,76,Outer Space,#414a4c
255,110,74,Outrageous Orange,#ff6e4a
0,33,71,Oxford Blue,#002147
0,102,0,Pakistan Green,#060
39,59,226,Palatinate Blue,#273be2
104,40,96,Palatinate Purple,#682860
188,212,230,Pale Aqua,#bcd4e6
175,238,238,Pale Blue,#afeeee
152,118,84,Pale Brown,#987654
175,64,53,Pale Carmine,#af4035
155,196,226,Pale Cerulean,#9bc4e2
221,173,175,Pale Chestnut,#ddadaf
218,138,103,Pale Copper,#da8a67
171,205,239,Pale Cornflower Blue,#abcdef
230,190,138,Pale Gold,#e6be8a
238,232,170,Pale Goldenrod,#eee8aa
152,251,152,Pale Green,#98fb98
220,208,255,Pale Lavender,#dcd0ff
249,132,229,Pale Magenta,#f984e5
250,218,221,Pale Pink,#fadadd
221,160,221,Pale Plum,#dda0dd
219,112,147,Pale Red-Violet,#db7093
150,222,209,Pale Robin Egg Blue,#96ded1
201,192,187,Pale Silver,#c9c0bb
236,235,189,Pale Spring Bud,#ecebbd
188,152,126,Pale Taupe,#bc987e
219,112,147,Pale Violet-Red,#db7093
120,24,74,Pansy Purple,#78184a
255,239,213,Papaya Whip,#ffefd5
80,200,120,Paris Green,#50c878
174,198,207,Pastel Blue,#aec6cf
131,105,83,Pastel Brown,#836953
207,207,196,Pastel Gray,#cfcfc4
119,221,119,Pastel Green,#7d7
244,154,194,Pastel Magenta,#f49ac2
255,179,71,Pastel Orange,#ffb347
222,165,164,Pastel Pink,#dea5a4
179,158,181,Pastel Purple,#b39eb5
255,105,97,Pastel Red,#ff6961
203,153,201,Pastel Violet,#cb99c9
253,253,150,Pastel Yellow,#fdfd96
128,0,128,Patriarch,#800080
83,104,120,Payne'S Grey,#536878
255,229,180,Peach,#ffe5b4
255,203,164,Peach (Crayola),#ffcba4
255,204,153,Peach-Orange,#fc9
255,218,185,Peach Puff,#ffdab9
250,223,173,Peach-Yellow,#fadfad
209,226,49,Pear,#d1e231
234,224,200,Pearl,#eae0c8
136,216,192,Pearl Aqua,#88d8c0
183,104,162,Pearly Purple,#b768a2
230,226,0,Peridot,#e6e200
204,204,255,Periwinkle,#ccf
28,57,187,Persian Blue,#1c39bb
0,166,147,Persian Green,#00a693
50,18,122,Persian Indigo,#32127a
217,144,88,Persian Orange,#d99058
247,127,190,Persian Pink,#f77fbe
112,28,28,Persian Plum,#701c1c
204,51,51,Persian Red,#c33
254,40,162,Persian Rose,#fe28a2
236,88,0,Persimmon,#ec5800
205,133,63,Peru,#cd853f
223,0,255,Phlox,#df00ff
0,15,137,Phthalo Blue,#000f89
18,53,36,Phthalo Green,#123524
253,221,230,Piggy Pink,#fddde6
1,121,111,Pine Green,#01796f
255,192,203,Pink,#ffc0cb
255,221,244,Pink Lace,#ffddf4
255,153,102,Pink-Orange,#f96
231,172,207,Pink Pearl,#e7accf
247,143,167,Pink Sherbet,#f78fa7
147,197,114,Pistachio,#93c572
229,228,226,Platinum,#e5e4e2
142,69,133,Plum (Traditional),#8e4585
221,160,221,Plum (Web),#dda0dd
255,90,54,Portland Orange,#ff5a36
176,224,230,Powder Blue (Web),#b0e0e6
255,143,0,Princeton Orange,#ff8f00
112,28,28,Prune,#701c1c
0,49,83,Prussian Blue,#003153
223,0,255,Psychedelic Purple,#df00ff
204,136,153,Puce,#c89
255,117,24,Pumpkin,#ff7518
105,53,156,Purple Heart,#69359c
128,0,128,Purple (Html/Css),#800080
150,120,182,Purple Mountain Majesty,#9678b6
159,0,197,Purple (Munsell),#9f00c5
254,78,218,Purple Pizzazz,#fe4eda
80,64,77,Purple Taupe,#50404d
160,32,240,Purple (X11),#a020f0
81,72,79,Quartz,#51484f
93,138,168,Rackley,#5d8aa8
255,53,94,Radical Red,#ff355e
251,171,96,Rajah,#fbab60
227,11,93,Raspberry,#e30b5d
145,95,109,Raspberry Glace,#915f6d
226,80,152,Raspberry Pink,#e25098
179,68,108,Raspberry Rose,#b3446c
130,102,68,Raw Umber,#826644
255,51,204,Razzle Dazzle Rose,#f3c
227,37,107,Razzmatazz,#e3256b
255,0,0,Red,#f00
165,42,42,Red-Brown,#a52a2a
134,1,17,Red Devil,#860111
242,0,60,Red (Munsell),#f2003c
196,2,51,Red (Ncs),#c40233
255,83,73,Red-Orange,#ff5349
237,28,36,Red (Pigment),#ed1c24
254,39,18,Red (Ryb),#fe2712
199,21,133,Red-Violet,#c71585
171,78,82,Redwood,#ab4e52
82,45,128,Regalia,#522d80
0,35,135,Resolution Blue,#002387
0,64,64,Rich Black,#004040
241,167,254,Rich Brilliant Lavender,#f1a7fe
215,0,64,Rich Carmine,#d70040
8,146,208,Rich Electric Blue,#0892d0
167,107,207,Rich Lavender,#a76bcf
182,102,210,Rich Lilac,#b666d2
176,48,96,Rich Maroon,#b03060
65,72,51,Rifle Green,#414833
0,204,204,Robin Egg Blue,#0cc
255,0,127,Rose,#ff007f
249,66,158,Rose Bonbon,#f9429e
103,72,70,Rose Ebony,#674846
183,110,121,Rose Gold,#b76e79
227,38,54,Rose Madder,#e32636
255,102,204,Rose Pink,#f6c
170,152,169,Rose Quartz,#aa98a9
144,93,93,Rose Taupe,#905d5d
171,78,82,Rose Vale,#ab4e52
101,0,11,Rosewood,#65000b
212,0,0,Rosso Corsa,#d40000
188,143,143,Rosy Brown,#bc8f8f
0,56,168,Royal Azure,#0038a8
0,35,102,Royal Blue (Traditional),#002366
65,105,225,Royal Blue (Web),#4169e1
202,44,146,Royal Fuchsia,#ca2c92
120,81,169,Royal Purple,#7851a9
250,218,94,Royal Yellow,#fada5e
209,0,86,Rubine Red,#d10056
224,17,95,Ruby,#e0115f
155,17,30,Ruby Red,#9b111e
255,0,40,Ruddy,#ff0028
187,101,40,Ruddy Brown,#bb6528
225,142,150,Ruddy Pink,#e18e96
168,28,7,Rufous,#a81c07
128,70,27,Russet,#80461b
183,65,14,Rust,#b7410e
218,44,67,Rusty Red,#da2c43
0,86,63,Sacramento State Green,#00563f
139,69,19,Saddle Brown,#8b4513
255,103,0,Safety Orange (Blaze Orange),#ff6700
244,196,48,Saffron,#f4c430
255,140,105,Salmon,#ff8c69
